,listing_id,monthname,price
0,38585,April,50.0
1,38585,August,50.0
2,38585,December,50.0
3,38585,February,50.0
4,38585,January,50.0
5,38585,July,50.0
6,38585,June,50.0
7,38585,March,50.0
8,38585,May,50.0
9,38585,November,50.0
10,38585,October,50.0
11,38585,September,50.0
12,80905,April,584.6
13,80905,August,470.0
14,80905,December,556.9677419354839
15,80905,February,557.1428571428571
16,80905,January,557.4193548387096
17,80905,July,508.0
18,80905,June,514.1333333333333
19,80905,March,562.8064516129032
20,80905,May,583.5806451612904
21,80905,November,473.6
22,80905,October,470.0
23,80905,September,479.73333333333335
24,108061,April,75.0
25,108061,August,75.0
26,108061,December,75.0
27,108061,February,75.0
28,108061,January,75.0
29,108061,July,75.0
30,108061,June,75.0
31,108061,March,75.0
32,108061,May,75.0
33,108061,November,75.0
34,108061,October,75.0
35,108061,September,75.0
36,155305,April,107.0
37,155305,August,112.25806451612904
38,155305,December,111.93548387096774
39,155305,February,107.0
40,155305,January,107.0
41,155305,July,112.09677419354838
42,155305,June,112.0
43,155305,March,107.0
44,155305,May,107.7741935483871
45,155305,November,112.16666666666667
46,155305,October,112.25806451612904
47,155305,September,112.0
48,156805,April,71.0
49,156805,August,71.0
50,156805,December,71.0
51,156805,February,71.0
52,156805,January,71.0
53,156805,July,71.0
54,156805,June,71.0
55,156805,March,71.0
56,156805,May,71.0
57,156805,November,71.0
58,156805,October,71.0
59,156805,September,71.0
60,156926,April,26.0
61,156926,August,31.903225806451612
62,156926,December,31.774193548387096
63,156926,February,26.0
64,156926,January,26.0
65,156926,July,31.838709677419356
66,156926,June,31.8
67,156926,March,26.0
68,156926,May,26.677419354838708
69,156926,November,31.866666666666667
70,156926,October,31.903225806451612
71,156926,September,31.8
72,160594,April,125.0
73,160594,August,125.0
74,160594,December,125.0
75,160594,February,125.0
76,160594,January,125.0
77,160594,July,125.0
78,160594,June,125.0
79,160594,March,125.0
80,160594,May,125.0
81,160594,November,125.0
82,160594,October,125.0
83,160594,September,125.0
84,209068,April,134.0
85,209068,August,134.0
86,209068,December,134.0
87,209068,February,134.0
88,209068,January,134.0
89,209068,July,134.0
90,209068,June,134.0
91,209068,March,134.0
92,209068,May,134.0
93,209068,November,134.0
94,209068,October,134.0
95,209068,September,134.0
96,213006,April,60.0
97,213006,August,48.0
98,213006,December,48.0
99,213006,February,48.0
100,213006,January,48.0
101,213006,July,48.29032258064516
102,213006,June,48.0
103,213006,March,50.70967741935484
104,213006,May,58.83870967741935
105,213006,November,48.0
106,213006,October,48.0
107,213006,September,48.0
108,246315,April,68.0
109,246315,August,67.90322580645162
110,246315,December,67.58064516129032
111,246315,February,67.85714285714286
112,246315,January,68.2258064516129
113,246315,July,67.90322580645162
114,246315,June,67.66666666666667
115,246315,March,67.58064516129032
116,246315,May,67.90322580645162
117,246315,November,67.66666666666667
118,246315,October,68.2258064516129
119,246315,September,67.66666666666667
120,295496,April,50.0
121,295496,August,50.0
122,295496,December,50.0
123,295496,February,50.0
124,295496,January,50.0
125,295496,July,50.0
126,295496,June,50.0
127,295496,March,50.0
128,295496,May,50.0
129,295496,November,50.0
130,295496,October,50.0
131,295496,September,50.0
132,304379,April,289.0
133,304379,August,289.0
134,304379,December,289.0
135,304379,February,289.0
136,304379,January,289.0
137,304379,July,289.0
138,304379,June,289.0
139,304379,March,289.0
140,304379,May,289.0
141,304379,November,289.0
142,304379,October,289.0
143,304379,September,289.0
144,427497,April,125.0
145,427497,August,125.0
146,427497,December,125.0
147,427497,February,125.0
148,427497,January,125.0
149,427497,July,125.0
150,427497,June,125.0
151,427497,March,125.0
152,427497,May,125.0
153,427497,November,125.0
154,427497,October,125.0
155,427497,September,125.0
156,436476,April,112.2
157,436476,August,100.45161290322581
158,436476,December,109.93548387096774
159,436476,February,111.42857142857143
160,436476,January,113.41935483870968
161,436476,July,100.0
162,436476,June,89.1
163,436476,March,109.93548387096774
164,436476,May,111.6774193548387
165,436476,November,110.4
166,436476,October,150.0
167,436476,September,126.63333333333334
168,483384,April,107.63333333333334
169,483384,August,117.96774193548387
170,483384,December,90.7741935483871
171,483384,February,90.96428571428571
172,483384,January,90.96774193548387
173,483384,July,115.48387096774194
174,483384,June,110.76666666666667
175,483384,March,94.83870967741936
176,483384,May,107.38709677419355
177,483384,November,91.36666666666666
178,483384,October,118.70967741935483
179,483384,September,93.6
180,495111,April,98.0
181,495111,August,97.90322580645162
182,495111,December,97.58064516129032
183,495111,February,97.85714285714286
184,495111,January,98.2258064516129
185,495111,July,97.90322580645162
186,495111,June,97.66666666666667
187,495111,March,97.58064516129032
188,495111,May,97.90322580645162
189,495111,November,97.66666666666667
190,495111,October,98.2258064516129
191,495111,September,97.66666666666667
192,528535,April,106.8
193,528535,August,106.54838709677419
194,528535,December,105.70967741935483
195,528535,February,106.42857142857143
196,528535,January,107.38709677419355
197,528535,July,106.54838709677419
198,528535,June,105.93333333333334
199,528535,March,105.70967741935483
200,528535,May,107.38709677419355
201,528535,November,105.93333333333334
202,528535,October,107.38709677419355
203,528535,September,105.93333333333334
204,539020,April,83.03333333333333
205,539020,August,74.03225806451613
206,539020,December,74.0
207,539020,February,74.07142857142857
208,539020,January,74.0
209,539020,July,74.0
210,539020,June,74.0
211,539020,March,76.19354838709677
212,539020,May,82.0
213,539020,November,74.0
214,539020,October,74.0
215,539020,September,74.26666666666667
216,621243,April,137.4
217,621243,August,137.2258064516129
218,621243,December,136.6451612903226
219,621243,February,137.14285714285714
220,621243,January,137.80645161290323
221,621243,July,137.2258064516129
222,621243,June,136.8
223,621243,March,136.6451612903226
224,621243,May,137.2258064516129
225,621243,November,136.8
226,621243,October,137.80645161290323
227,621243,September,136.8
228,634319,April,150.0
229,634319,August,150.0
230,634319,December,175.0
231,634319,February,150.0
232,634319,January,150.0
233,634319,July,150.0
234,634319,June,150.0
235,634319,March,150.0
236,634319,May,150.0
237,634319,November,175.0
238,634319,October,175.0
